trade_date,open,high,low,close,volume,amount,ts_code
2022-01-04,14.64,14.82,14.34,14.82,1169259,1918887056.0,000001.SZ
2022-01-04,63.34,64.84,62.94,64.7,310408,2323005424.0,000333.SZ
2022-01-04,1884.04,1897.99,1843.04,1880.27,33843,6913653248.0,600519.SH
2022-01-05,14.74,15.38,14.71,15.31,1961998,3344124592.0,000001.SZ
2022-01-05,64.74,69.17,64.08,65.61,613699,4743653632.0,000333.SZ
2022-01-05,1874.04,1894.04,1847.04,1853.04,28396,5774992128.0,600519.SH
2022-01-06,15.27,15.43,15.16,15.28,1107885,1896535840.0,000001.SZ
2022-01-06,65.15,67.53,64.14,64.32,341889,2599839616.0,000333.SZ
2022-01-06,1851.05,1865.04,1767.55,1811.26,51795,10226933760.0,600519.SH
2022-01-07,15.26,15.44,15.22,15.36,1126631,1937710960.0,000001.SZ
2022-01-07,64.82,67.82,64.35,67.12,437221,3393184320.0,000333.SZ
2022-01-07,1804.04,1817.92,1768.36,1771.04,29817,5831695360.0,600519.SH
2022-01-10,15.45,15.58,15.19,15.35,909774,1563414576.0,000001.SZ
2022-01-10,67.54,70.22,66.34,67.14,352522,2760629552.0,000333.SZ
2022-01-10,1757.05,1806.04,1746.59,1795.04,29627,5792738048.0,600519.SH
2022-01-11,15.42,15.7,15.3,15.57,1581999,2752485392.0,000001.SZ
2022-01-11,66.36,68.16,64.84,64.94,336945,2592315664.0,000333.SZ
2022-01-11,1777.04,1794.04,1760.21,1769.59,22277,4332180736.0,600519.SH
2022-01-12,15.57,15.61,15.06,15.16,1502164,2561266416.0,000001.SZ
2022-01-12,65.43,65.66,62.37,63.62,384641,2852050496.0,000333.SZ
2022-01-12,1777.04,1807.84,1777.04,1796.04,27474,5384359680.0,600519.SH
2022-01-13,15.07,15.4,14.98,15.14,909423,1550319152.0,000001.SZ
2022-01-13,63.92,64.7,61.54,61.66,267326,1957650624.0,000333.SZ
2022-01-13,1793.86,1797.03,1694.6,1706.43,56747,10781720576.0,600519.SH
2022-01-14,15.16,15.18,14.46,14.49,2103095,3459950800.0,000001.SZ
2022-01-14,61.44,62.19,60.74,61.34,209970,1516106944.0,000333.SZ
2022-01-14,1706.43,1722.04,1692.04,1696.04,29322,5506185984.0,600519.SH
2022-01-17,14.51,14.64,14.28,14.38,1143689,1855633792.0,000001.SZ
2022-01-17,61.44,62.78,61.06,62.37,203811,1481637504.0,000333.SZ
2022-01-17,1697.04,1707.34,1664.38,1690.65,27354,5074077696.0,600519.SH
2022-01-18,14.41,14.7,14.32,14.68,1152974,1891094608.0,000001.SZ
2022-01-18,62.15,63.02,61.36,62.64,213077,1554810608.0,000333.SZ
2022-01-18,1690.72,1737.89,1681.04,1721.31,31216,5906705920.0,600519.SH
2022-01-19,14.7,14.85,14.52,14.66,988392,1630973584.0,000001.SZ
2022-01-19,63.04,65.53,62.8,64.57,404011,3035602736.0,000333.SZ
2022-01-19,1748.04,1748.04,1717.92,1741.04,26371,5026993408.0,600519.SH
2022-01-20,14.63,15.62,14.58,15.49,3031194,5195805440.0,000001.SZ
2022-01-20,64.53,68.14,64.45,67.96,506622,3941616640.0,000333.SZ
2022-01-20,1745.04,1809.03,1745.04,1798.56,34014,6665294848.0,600519.SH
2022-01-21,15.61,15.72,15.37,15.51,1481683,2575115120.0,000001.SZ
2022-01-21,67.46,68.16,65.97,66.75,302262,2345227568.0,000333.SZ
2022-01-21,1789.04,1822.53,1780.05,1814.03,30813,6091427584.0,600519.SH
2022-01-24,15.5,15.54,15.14,15.36,874771,1501390336.0,000001.SZ
2022-01-24,66.14,68.37,65.84,66.42,169131,1307756736.0,000333.SZ
2022-01-24,1784.04,1813.04,1760.48,1779.24,23986,4685441792.0,600519.SH
2022-01-25,15.24,15.24,14.97,15.01,1093284,1851999024.0,000001.SZ
2022-01-25,66.14,68.14,64.56,65.19,251852,1938021216.0,000333.SZ
2022-01-25,1772.04,1795.04,1760.04,1772.04,25510,4971078400.0,600519.SH
2022-01-26,15.11,15.26,14.7,14.81,984975,1646384992.0,000001.SZ
2022-01-26,65.81,66.87,64.88,65.85,179965,1376378672.0,000333.SZ
2022-01-26,1771.08,1798.04,1748.04,1784.04,23905,4655706624.0,600519.SH
2022-01-27,14.66,14.7,14.41,14.46,1024643,1677261296.0,000001.SZ
2022-01-27,65.09,66.11,63.85,64.16,258966,1951701424.0,000333.SZ
2022-01-27,1830.05,1839.86,1781.04,1794.04,42665,8450329088.0,600519.SH
2022-01-28,14.55,14.61,13.98,13.99,1675564,2695470336.0,000001.SZ
2022-01-28,64.17,65.34,62.37,62.54,269219,1996946176.0,000333.SZ
2022-01-28,1784.04,1797.04,1709.05,1716.04,41020,7889492992.0,600519.SH
2022-02-07,14.18,14.57,14.05,14.55,1515476,2451798480.0,000001.SZ
2022-02-07,63.84,64.98,62.72,64.04,212958,1582887136.0,000333.SZ
2022-02-07,1730.03,1742.6,1679.04,1697.0,35150,6601799680.0,600519.SH
2022-02-08,14.46,15.13,14.42,14.99,1754695,2950309008.0,000001.SZ
2022-02-08,63.74,64.24,62.34,63.64,252228,1858705328.0,000333.SZ
2022-02-08,1697.92,1701.91,1619.04,1668.04,41713,7585130496.0,600519.SH
2022-02-09,15.08,15.16,14.87,15.02,1051162,1774253632.0,000001.SZ
2022-02-09,63.94,66.41,63.24,65.93,308211,2329350896.0,000333.SZ
2022-02-09,1668.13,1737.04,1656.01,1725.02,33885,6346699776.0,600519.SH
